YEAR,SEVERITY_GROUP,crash_count
2003.0,Fatal,434
2003.0,Serious,4175
2004.0,Fatal,447
2004.0,Serious,4071
2005.0,Fatal,417
2005.0,Serious,4089
2006.0,Fatal,403
2006.0,Serious,3783
2007.0,Fatal,408
2007.0,Serious,3467
2008.0,Fatal,338
2008.0,Serious,3347
2009.0,Fatal,313
2009.0,Serious,2785
2010.0,Fatal,333
2010.0,Serious,2820
2011.0,Fatal,356
2011.0,Serious,2929
2012.0,Fatal,364
2012.0,Serious,2953
2013.0,Fatal,334
2013.0,Serious,2683
2014.0,Fatal,339
2014.0,Serious,2576
2015.0,Fatal,326
2015.0,Serious,2494
2016.0,Fatal,360
2016.0,Serious,2544
2017.0,Fatal,334
2017.0,Serious,2231
2018.0,Fatal,337
2018.0,Serious,2198
2019.0,Fatal,324
2019.0,Serious,2315
2020.0,Fatal,327
2020.0,Serious,2020
2021.0,Fatal,393
2021.0,Serious,2422
2022.0,Fatal,413
2022.0,Serious,2531
2023.0,Fatal,325
2023.0,Serious,2425
2024.0,Fatal,349
2024.0,Serious,2361
